证书签发完成,"Certificate Issued"
"分流均衡门禁：FAIL（预期 %{1}，命中 %{2}，缺失 %{3}，额外 %{4}，未归因成功请求 %{5}，max/min=%{6}）","分流均衡门禁：FAIL（预期 %{1}，命中 %{2}，缺失 %{3}，额外 %{4}，未归因成功请求 %{5}，max/min=%{6}）"
质量门禁：PASS,质量门禁：PASS
质量门禁：FAIL（%{1}）,质量门禁：FAIL（%{1}）
"报告 JSON 编码失败，未保存：%{1}","报告 JSON 编码失败，未保存：%{1}"
"报告 JSON 内容为空，未保存：%{1}","报告 JSON 内容为空，未保存：%{1}"
报告目录创建失败，未保存：%{1},报告目录创建失败，未保存：%{1}
报告写入失败，未保存：%{1},报告写入失败，未保存：%{1}
报告发布失败，未保存：%{1},报告发布失败，未保存：%{1}
报告已保存：%{1},"Report saved: %{1}"
"对 Weline Server 进行压力测试","Stress test Weline Server"
自动探测运行中的服务器并进行压力测试,"Automatically Detect Running Servers and Perform Stress Testing"
并发数（默认：100）,"Concurrency Count (Default: 100)"
总请求数（默认：10000）,"Total Request Count (Default: 10000)"
请求路径（默认：/_wls/health）,"Request path (default: /_wls/health)"
"精确指定运行中的 WLS 实例，并归因当前 endpoint schema 运行时元数据","精确指定运行中的 WLS 实例，并归因当前 endpoint schema 运行时元数据"
指定端口（可选，默认自动探测）,"Specify port (optional, auto-detected by default)"
"指定主机（可选，默认 127.0.0.1；-h 保留给全局帮助）","指定主机（可选，默认 127.0.0.1；-h 保留给全局帮助）"
"为跨主机压测指定 TLS SNI/HTTP Host；TCP 仍连接 --host 指定地址","Set TLS SNI/HTTP Host for a cross-host benchmark while TCP still connects to the address supplied by --host"
"指定端口为 HTTPS（与 -p 合用；自动探测时根据实例配置）","Specify port as HTTPS (used with -p; auto-detection uses instance configuration)"
"强制 HTTPS 压测使用指定 TLS 版本（默认 auto）","强制 HTTPS 压测使用指定 TLS 版本（默认 auto）"
"强制压测请求使用指定 HTTP 版本；auto 对 Managed Nginx 公网入口只选择已实测协议，内部回源固定 HTTP/1.1，未归因目标交由 cURL 协商","Force benchmark requests to use the selected HTTP version; auto chooses only live-verified protocols for a Managed Nginx public endpoint, fixes internal upstreams to HTTP/1.1, and lets cURL negotiate unattributed targets"
"HTTP/2/3 物理连接目标；默认按 READY Worker 数和服务端 Stream 容量自动计算，设为 1 可测单连接多路复用","HTTP/2/3 物理连接目标；默认按 READY Worker 数和服务端 Stream 容量自动计算，设为 1 可测单连接多路复用"
"请求内容编码；默认 identity 保持旧基线，auto 模拟浏览器并启用 cURL 支持的全部压缩","请求内容编码；默认 identity 保持旧基线，auto 模拟浏览器并启用 cURL 支持的全部压缩"
"禁用 keep-alive/连接复用（更利于验证连接级分流；HTTPS 时亦是 fresh TLS）","禁用 keep-alive/连接复用（更利于验证连接级分流；HTTPS 时亦是 fresh TLS）"
"命中 Worker 统计使用的响应头（逗号分隔；默认自动探测 X-WLS-Worker-PID/Id/Port）","命中 Worker 统计使用的响应头（逗号分隔；默认自动探测 X-WLS-Worker-PID/Id/Port）"
"fresh-connection 分流 max/min 硬门禁（默认 1.5）","fresh-connection 分流 max/min 硬门禁（默认 1.5）"
"成功 QPS 下限；0 表示不设置性能下限（--min-qps 为别名）","成功 QPS 下限；0 表示不设置性能下限（--min-qps 为别名）"
"错误率上限百分比（默认 0）","错误率上限百分比（默认 0）"
"全部完成请求 P95 上限；0 表示禁用","全部完成请求 P95 上限；0 表示禁用"
"TLS 握手 P95 上限；0 表示禁用，启用后无握手样本亦失败","TLS 握手 P95 上限；0 表示禁用，启用后无握手样本亦失败"
"预期压测期间发生滚动 reload：要求 Master 不变、前后 Worker 身份证据健康且代际指纹发生变化","预期压测期间发生滚动 reload：要求 Master 不变、前后 Worker 身份证据健康且代际指纹发生变化"
基本压测（自动探测）,"Basic Stress Test (Auto Detect)"
"指定 WLS 实例","Select a WLS instance"
浏览器压缩首页,浏览器压缩首页
高并发,"High concurrency"
"分流验证（禁用 keep-alive）","Shard validation (keep-alive disabled)"
"统计 Worker 分布","Worker Distribution Statistics"
分流倾斜阈值检查,"Shard skew threshold check"
指定端口,"Specify port"
"指定 HTTPS 端口","Specify HTTPS port"
"跨主机 HTTP/2 压测","Cross-host HTTP/2 benchmark"
"HTTP/2 协商验证","HTTP/2 协商验证"
"HTTP/2 单物理连接多路复用","HTTP/2 单物理连接多路复用"
"HTTP/3 协商验证","HTTP/3 协商验证"
"TLS 1.3 fresh connection","TLS 1.3 fresh connection"
"--accept-encoding 仅允许：auto、br,gzip、gzip、identity。","--accept-encoding 仅允许：auto、br,gzip、gzip、identity。"
"当前 PHP 未安装 curl 扩展。","当前 PHP 未安装 curl 扩展。"
"无法初始化内容编码 cURL 探针。","无法初始化内容编码 cURL 探针。"
内容编码探针失败。,内容编码探针失败。
已归因目标缺少完整的边缘身份或协议运行证据，拒绝开始压测。,"The attributed target lacks complete edge identity or runtime protocol evidence; benchmark startup was refused."
"目标没有任何已完成运行验证的 HTTP 协议。","The target has no HTTP protocol with completed runtime verification."
"Nginx 公网入口（共享网关或项目托管）","Nginx 公网入口（共享网关或项目托管）"
"内部 WLS HTTP/1.1 回源","Internal WLS HTTP/1.1 upstream"
"%{1} 尚未实测验证 HTTP/%{2}，拒绝把配置能力当作压测证据。","%{1} has not been live-verified for HTTP/%{2}; configured capability is not accepted as benchmark evidence."
"当前 Nginx 公网 HTTP/2 与 HTTP/3 门禁要求 HTTPS 目标。","The current Nginx public HTTP/2 and HTTP/3 gates require an HTTPS target."
"当前 PHP cURL/libcurl 不能发起 HTTP/2 请求。","The current PHP cURL/libcurl cannot issue HTTP/2 requests."
"当前 PHP cURL/libcurl 不能发起 HTTP/3 请求；可使用 auto 回退到已验证的 Nginx HTTP/2/1.1。","The current PHP cURL/libcurl cannot issue HTTP/3 requests; use auto to fall back to verified Nginx HTTP/2 or HTTP/1.1."
"已归因目标的边缘身份或协议策略未绑定，auto 已拒绝降级猜测。","The attributed target has no bound edge identity or protocol policy; auto refused a speculative fallback."
"目标与当前 cURL 没有共同且已完成运行验证的 HTTP 协议。","The target and current cURL have no common HTTP protocol with completed runtime verification."
"当前 system.env=%{1} 禁止执行 hosts 写入","Current system.env=%{1} prohibits executing hosts write"
"*.weline.test 固定写入 127.0.0.1，无需也不应指定其它 IP","*.weline.test is always written as 127.0.0.1; do not specify another IP"
"域名 %{1} 使用 .localhost 回环后缀，无需写入 hosts","Domain %{1} uses the .localhost loopback suffix, no need to write to hosts."
"仅允许写入单标签的 *.weline.test 本地域名；*.weline.localhost 无需 hosts","Only allows writing to single-tag *.weline.test local domains; *.weline.localhost does not require hosts"
"托管本地域名 %{1} 固定使用 %{2}，已忽略传入 IP %{3}","Managed local domain %{1} always uses %{2}; ignored provided IP %{3}"
需要提升权限,"Requires Elevated Permissions"
"写入 hosts 失败","Failed to write to hosts"
"向本机 hosts 添加需要显式解析的本地域名（当前仅 *.weline.test → 127.0.0.1）","Add local domains requiring explicit resolution to the local hosts file (currently only *.weline.test → 127.0.0.1)"
用法,Usage
"与 server:start 使用同一套 HostsFileManager；*.weline.test 固定写入 127.0.0.1；仅 system.env 为 local/dev/test 时可用","Uses the same HostsFileManager as server:start; *.weline.test always writes 127.0.0.1; only available when system.env is local/dev/test"
"端口 %{1} 当前没有进程在监听","Port %{1} currently has no process listening"
框架进程,"Framework Process"
异常占用,"Exception occupancy"
非框架进程,"Non-framework process"
"端口 %{1} 被进程占用%{2}","Port %{1} is occupied by process %{2}"
"该端口处于异常占用状态（系统返回的 PID 已失效），当前无法直接杀进程","This port is in an abnormal occupied state (the PID returned by the system is invalid) and the process cannot be killed directly"
该端口被非框架进程占用，出于安全考虑不会自动杀死,"This port is occupied by a non-framework process and will not be killed automatically for security reasons"
"如果确定要杀死该进程，请使用 -f 参数:","If you are sure you want to kill the process, use the -f parameter:"
或手动执行:,"or manually execute:"
"taskkill /F /PID %{1}","taskkill /F /PID %{1}"
"拒绝杀死非 WLS 进程：-f 只能强制释放 WLS 归属进程。","拒绝杀死非 WLS 进程：-f 只能强制释放 WLS 归属进程。"
"如确认要杀死非 WLS 进程，请显式追加 --allow-foreign。","如确认要杀死非 WLS 进程，请显式追加 --allow-foreign。"
"警告：端口占用者处于异常状态（PID 失效），强制模式可能仍无法释放端口。","Warning: The port occupant is in an abnormal state (PID invalid). Force mode may still not release the port."
"警告：即将杀死非 WLS 进程！","警告：即将杀死非 WLS 进程！"
正在释放端口...,"Releasing port..."
"端口 %{1} 已成功释放","Port %{1} has been successfully released"
端口释放失败，请尝试：,"Port release failed, please try:"
"1. 以管理员身份运行","1. Run as an administrator"
"2. 手动执行: taskkill /F /PID %{1}","2. Manually execute: taskkill /F /PID %{1}"
"结束占用指定端口的进程（如 443 被非框架进程占用时）","End the process occupying the specified port (e.g., when port 443 is occupied by a non-framework process)"
结束占用指定端口的进程,"End the process occupying the specified port"
"端口号（默认 443）","Port Number (default 443)"
端口号,"Port Number"
"强制模式：仅强制释放 WLS 归属进程","强制模式：仅强制释放 WLS 归属进程"
"与 -f 同用时允许杀死非 WLS 进程（危险）","与 -f 同用时允许杀死非 WLS 进程（危险）"
"结束占用 443 的框架进程","End the framework process occupying port 443"
"强制杀死非 WLS 进程（危险）","强制杀死非 WLS 进程（危险）"
未收到回执,"No receipt received"
"IPC stop_test 诊断","IPC stop_test diagnostics"
"发送 stop_test，输出 Orchestrator 诊断 JSON","Sending stop_test, outputting Orchestrator diagnostic JSON"
诊断默认实例,"Default diagnostic instance"
"WLS 运行时策略校验通过。","WLS 运行时策略校验通过。"
Digest：%{1},Digest：%{1}
规则：%{1},规则：%{1}
"校验 WLS 编译型运行时策略","校验 WLS 编译型运行时策略"
"WLS 运行时策略编译完成。","WLS 运行时策略编译完成。"
"编译 WLS 运行时策略包","编译 WLS 运行时策略包"
"WLS 运行时策略回滚已受理。","WLS 运行时策略回滚已受理。"
"回滚 WLS 运行时策略","回滚 WLS 运行时策略"
"WLS 运行时策略状态","WLS 运行时策略状态"
实例：%{1},实例：%{1}
Active：%{1},Active：%{1}
Staged：%{1},Staged：%{1}
Previous：%{1},Previous：%{1}
"查看 WLS 运行时策略状态","查看 WLS 运行时策略状态"
"topology 必须是 both、direct 或 dispatcher。","topology 必须是 both、direct 或 dispatcher。"
"Master 拒绝了策略发布。","Master 拒绝了策略发布。"
所有关键进程已完成运行时策略提交。,所有关键进程已完成运行时策略提交。
运行时策略在所有关键进程提交前失败。,运行时策略在所有关键进程提交前失败。
"运行时策略在控制时限内未进入 active 状态（state=%{1}）。","运行时策略在控制时限内未进入 active 状态（state=%{1}）。"
"WLS 运行时策略发布已受理。","WLS 运行时策略发布已受理。"
