主题通知事件,"थीम अधिसूचना इवेंट"
本政策构成您与本网站之间关于个人信息处理的重要说明。请结合目录逐章阅读；如有疑问，可通过帮助中心或联系入口与我们沟通。,本政策构成您与本网站之间关于个人信息处理的重要说明。请结合目录逐章阅读；如有疑问，可通过帮助中心或联系入口与我们沟通。
"1.1 我们会在合法、正当、必要的前提下收集您的个人信息。我们可能收集的信息包括：","1.1 हम केवल वैध, उचित और आवश्यक आधार पर आपकी व्यक्तिगत जानकारी एकत्र करते हैं। हम जो जानकारी एकत्र कर सकते हैं उसमें शामिल हैं:"
（1）账户信息：用户名、密码、邮箱地址、手机号码、实名认证信息等；,"(1) खाता जानकारी: उपयोगकर्ता नाम, पासवर्ड, ईमेल पता, मोबाइल नंबर, पहचान प्रमाण जानकारी आदि;"
（2）交易信息：订单信息、支付信息、收货地址、发票信息等；,"(2) लेनदेन जानकारी: ऑर्डर जानकारी, भुगतान जानकारी, डिलीवरी पता, चालान जानकारी आदि;"
（3）设备信息：设备型号、操作系统、浏览器类型、IP地址、设备标识符等；,"“(3) डिवाइस जानकारी: डिवाइस मॉडल, ऑपरेटिंग सिस्टम, ब्राउज़र प्रकार, आईपी पता, डिवाइस पहचानकर्ता आदि;"
（4）日志信息：访问时间、访问页面、搜索关键词、点击记录等；,"“(4) लॉग जानकारी: एक्सेस समय, एक्सेस किए गए पृष्ठ, खोज कीवर्ड, क्लिक रिकॉर्ड आदि;"
（5）位置信息：在您授权的情况下，我们可能收集您的地理位置信息；,"（5）स्थान जानकारी: आपकी अनुमति के साथ, हम आपकी भौगोलिक स्थिति की जानकारी एकत्र कर सकते हैं;"
（6）其他信息：您主动提供的其他个人信息。,"（6）अन्य जानकारी: अन्य व्यक्तिगत जानकारी जो आप सक्रिय रूप से प्रदान करते हैं।"
"2.1 我们收集信息的目的包括：","2.1 हम जानकारी एकत्र करने के कारणों में शामिल हैं:"
（1）提供、维护和改进服务：处理您的订单、提供客户支持、优化用户体验；,"(1) सेवाओं का प्रावधान, रखरखाव और सुधार: आपके ऑर्डर को संसाधित करना, ग्राहक सहायता प्रदान करना, उपयोगकर्ता अनुभव को अनुकूलित करना;"
（2）身份验证与安全：验证您的身份、保障账户安全、防范欺诈行为；,"“(2) पहचान सत्यापन और सुरक्षा: आपकी पहचान सत्यापित करना, खाते की सुरक्षा सुनिश्चित करना और धोखाधड़ी को रोकना;"
（3）个性化服务：根据您的偏好提供个性化内容和推荐；,"“(3) व्यक्तिगत सेवाएं: आपकी प्राथमिकताओं के आधार पर व्यक्तिगत सामग्री और सिफारिशें प्रदान करना;"
（4）营销与推广：向您发送促销信息、活动通知（您可随时退订）；,"（4）विपणन और प्रचार: हम आपको प्रचारक जानकारी और गतिविधियों की सूचना भेज सकते हैं (आप कभी भी सदस्यता समाप्त कर सकते हैं);"
