阿里云域名,"Alibaba Cloud Domain"
"空域名 %{n} 条","Empty domain name %{n} entries"
"无效条目 %{n} 条（非对象）","Invalid entry %{n} (not an object)"
没有有效的域名（已跳过：%{detail}）,"No valid domains (skipped: %{detail})"
没有有效的域名,"No valid domains"
"购买完成：%{success} 成功，%{fail} 失败","Purchase completed: %{success} succeeded, %{fail} failed"
"%{message}；其中 %{count} 个域名未成功创建生命周期订单，请检查生命周期模块或根据返回结果重试。","%{message}; Among them, %{count} domain names did not successfully create life cycle orders. Please check the life cycle module or try again based on the returned results."
"空 %{n} 条","Empty %{n} items"
"无效结构 %{n} 条","Invalid structure: %{n} entries"
%{message}（提交时已忽略：%{detail}）,"%{message} (ignored on submission: %{detail})"
"若存在不同 DNS/CDN，约 5–10 分钟内由自动任务完成。","If DNS/CDN differs from registrar, it will be switched by an automatic task within about 5–10 minutes."
"域名购买后拉取落库失败: %{domain}, 错误: %{error}","Failed to pull and store domain after purchase: %{domain}, error: %{error}"
"域名入池失败: %{domain}, 错误: %{error}","Failed to add domain to pool: %{domain}, error: %{error}"
"[DomainPurchase] %{1} 已绑定默认 CDN 账户 ID=%{2}","[DomainPurchase] %{1} has been bound to the default CDN account ID=%{2}"
"[DomainPurchase] default_cdn_account_id=%{1} 不存在，跳过默认 CDN 绑定","[DomainPurchase] default_cdn_account_id=%{1} does not exist, skip the default CDN binding"
"购买后同步域名 DNS 元数据失败：%{1}","Failed to sync domain DNS metadata after purchase: %{1}"
"域名绑站失败: %{domain}, 错误: %{error}","Failed to bind domain to site: %{domain}, error: %{error}"
"创建自动解析任务失败: %{domain}, 错误: %{error}","Failed to create auto-parsing task: %{domain}, error: %{error}"
生命周期模块不可用,"Lifecycle module is unavailable"
"生命周期服务缺少 startPurchasedLifecycle 方法","Lifecycle service is missing the startPurchasedLifecycle method"
启动域名生命周期跟踪失败：%{domain}，错误：%{error},"Failed to track domain lifecycle: %{domain}, error: %{error}"
"生命周期服务缺少 getOrderByDomain 方法","Lifecycle service is missing the getOrderByDomain method"
生命周期订单已创建,"Lifecycle order has been created"
未找到生命周期订单,"No lifecycle order found"
"从 ExtendsData 扫描域名商适配器失败:","Failed to scan domain registrar adapter from ExtendsData:"
"加载域名商适配器失败: %{file}, 错误: %{error}","Failed to load domain registrar adapter: %{file}, error: %{error}"
"无法获取服务器公网 IP","Unable to get server public IP"
"域名商不支持 DNS 管理","Domain registrar does not support DNS management"
没有可添加的解析记录,"No DNS records to add"
"当前公网 NS 识别为 %{1}，但后台未配置对应账户。请在「域名商账户」中添加可管理该 DNS 的 %{1} 账户。","The current public network NS is identified as %{1}, but no corresponding account is configured in the backend. Please add a %{1} account that can manage this DNS in ""Domain Registrar Accounts""."
"[DomainResolve] 无法补全 dns_account_id：domain_id=%{1} %{2}","[DomainResolve] Cannot resolve dns_account_id: domain_id=%{1} %{2}"
"目标账户不支持 DNS 记录管理","Target account does not support DNS record management"
"注册商 API 显示的委派 NS 为「%{1}」（%{2}），未指向当前 DNS 托管「%{3}」。请先在注册商处将 NS 改为该托管商要求的地址后再申请证书。","Registrar API shows delegated NS 「%{1}」 (%{2}), not pointing to current DNS host 「%{3}」. Update NS at the registrar to this host's required nameservers before requesting the certificate."
"DNS 托管 API 未能确认该域名在本账户下可写","DNS host API could not confirm this domain is writable in this account"
已就绪,Ready
"[注册商 API] 委派 NS：%{1}（已识别为「%{2}」）。[DNS 托管 API] Zone 状态：%{3}。将直接写入验证 TXT。","[Registrar API] Delegated NS: %{1} (detected as 「%{2}」). [DNS host API] Zone status: %{3}. Writing validation TXT now."
"[DNS 托管 API] 已在本账户下确认域名可管理（Zone：%{1}）。未能通过注册商 API 读取委派 NS；若 CA 验证失败请核对注册局 NS 是否已指向「%{2}」。","[DNS host API] Domain is manageable in this account (Zone: %{1}). Could not read delegated NS via registrar API; if CA validation fails, confirm registry NS points to 「%{2}」."
"证书机构仍从全球递归查询 TXT；若委派尚未在全球生效，DNS-01 可能失败，可稍后重试或改用 HTTP-01。","The CA still queries TXT via global resolvers; if delegation is not live worldwide yet, DNS-01 may fail—retry later or use HTTP-01."
"DNS 托管 API 返回异常","DNS hosting API returns exception"
"DNS 托管账户下未找到该域名，请检查账户、Token 权限与区域资源","Domain not found under this DNS host account—check account, token permissions, and zone scope"
"DNS 托管侧域名状态异常，无法写入验证记录","DNS host reports an abnormal domain state; cannot write validation records"
"无法查询域名「%{1}」的权威 NS（与 dig/nslookup 结果一致）。请确认根域正确；在权威 NS 尚未指向当前 DNS 托管商前，勿用其 API 做证书 DNS 验证。","Could not resolve authoritative NS for 「%{1}」 (same as dig/nslookup). Check the apex domain; do not use that provider's API for DNS-01 until authority points there."
"[注册商 API] 登记 NS 已为「%{1}」（%{2}），与当前 DNS 账户一致；本机/递归查询仍为「%{3}」（%{4}）。证书流程将先等待公网权威 NS 与目标一致后再写入验证 TXT（超时见 env websites.acme_dns）。CA 仍从全球递归查 TXT，若最终验证失败可再试或换 HTTP-01。","[Registrar API] Delegated NS is already 「%{1}」 (%{2}), matching your DNS account; local/recursive still shows 「%{3}」 (%{4}). Cert flow will wait until public authoritative NS matches before writing validation TXT (timeout: env websites.acme_dns). CA still queries TXT globally; if validation still fails, retry or use HTTP-01."
"请在域名注册商处把 NS 改为 Cloudflare 控制台该域名页提供的两条 NS，等待全球生效（常需数小时）后再用 DNS-01 申请证书；或若 80 端口已指向本机可改用 HTTP-01。","At the domain registrar, change the NS to the two NS provided on the Cloudflare console's domain page for that domain, wait for global propagation (often takes several hours), then use DNS-01 to apply for the certificate; or, if port 80 is already pointed to this machine, switch to HTTP-01."
"[常见误解] 后台将「DNS 托管」选为 Cloudflare 仅表示通过 Cloudflare API 写记录；若权威 NS 仍为 Gname 高防（*.share-dns.com / *.share-dns.net）等而非 Cloudflare 的 *.ns.cloudflare.com，则 CA 从全球递归查询看到的是注册商侧权威区，查不到写在 Cloudflare 上的 TXT，DNS-01 仍会失败。请在注册商处将 NS 整站改为 Cloudflare 给出的两条 NS，并等待传播；或 80 已指向本机时改用 HTTP-01。","[Misconception] Choosing Cloudflare as DNS host only means records are written via Cloudflare's API. If authoritative NS is still Gname protection (*.share-dns.com / *.share-dns.net) etc., not *.ns.cloudflare.com, the CA sees the registrar zone and will not find TXT at Cloudflare—DNS-01 fails. Delegate NS at the registrar to Cloudflare's two nameservers and wait, or use HTTP-01 if port 80 hits this host."
"[提示] 已尝试通过注册商账户（account_id）API 读取登记 NS，与目标仍不一致或接口不可用；请以注册商控制台为准核对委派 NS。","[Hint] Queried registrar API (account_id) for delegated NS; it still does not match the target or the API was unavailable—confirm delegation in the registrar console."
"域名「%{1}」当前权威 NS 为「%{2}」（%{3}），未托管在「%{4}」。向 %{4} API 写入的验证 TXT 不会出现在当前权威 DNS 区，全球解析也查不到，DNS-01 证书必败。%{5}","「%{1}」 authoritative NS is 「%{2}」 (%{3}), not hosted on 「%{4}」. Validation TXT written via %{4}'s API will not appear in the live zone—resolvers won't see it; DNS-01 cannot succeed. %{5}"
(暂无),"(None yet)"
"[证书 DNS-01] 等待公网 NS 传播：已等待 %{1} 秒，当前为「%{2}」（%{3}），目标「%{4}」…","[DNS-01] Waiting for NS propagation: %{1}s elapsed, current 「%{2}」 (%{3}), target 「%{4}」…"
"（DoH 已观测到「%{1}」，本机解析器仍为「%{2}」；须本机也解析到目标后再写 TXT，与 CA 可见性更一致。）","(DoH already sees 「%{1}」 while local resolver still shows 「%{2}」; local authority must match before writing TXT, closer to what the CA will see.)"
